path	mode	verdict	state	exit	phase	family
examples/arrays/arrays.go	oracle	pass	complete	0	run	pass
examples/arrays/arrays.go	interpreted	pass	complete	0	run	pass
examples/arrays/arrays.go	compiled	pass	complete	0	run	pass
examples/atomic-counters/atomic-counters.go	oracle	pass	complete	0	run	pass
examples/atomic-counters/atomic-counters.go	interpreted	pass	complete	0	run	pass
examples/atomic-counters/atomic-counters.go	compiled	pass	complete	0	run	pass
examples/base64-encoding/base64-encoding.go	oracle	pass	complete	0	run	pass
examples/base64-encoding/base64-encoding.go	interpreted	pass	complete	0	run	pass
examples/base64-encoding/base64-encoding.go	compiled	pass	complete	0	run	pass
examples/channel-buffering/channel-buffering.go	oracle	pass	complete	0	run	pass
examples/channel-buffering/channel-buffering.go	interpreted	pass	complete	0	run	pass
examples/channel-buffering/channel-buffering.go	compiled	pass	complete	0	run	pass
examples/channel-directions/channel-directions.go	oracle	pass	complete	0	run	pass
examples/channel-directions/channel-directions.go	interpreted	pass	complete	0	run	pass
examples/channel-directions/channel-directions.go	compiled	pass	complete	0	run	pass
examples/channel-synchronization/channel-synchronization.go	oracle	pass	complete	0	run	pass
examples/channel-synchronization/channel-synchronization.go	interpreted	pass	complete	0	run	pass
examples/channel-synchronization/channel-synchronization.go	compiled	pass	complete	0	run	pass
examples/channels/channels.go	oracle	pass	complete	0	run	pass
